Availability,VariableName,VariableCode,Unit,Observations,Sites,MeanObsPerSite,FirstRecordUTC,LastRecordUTC
<button type='button' id='MS_Mn'>view</button>,Moss: Schistidium: Manganese,MS_Mn,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_N'>view</button>,Moss: Schistidium: Nitrogen,MS_N,%,335,15,22,1995-07-07T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Na'>view</button>,Moss: Schistidium: Sodium,MS_Na,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_P'>view</button>,Moss: Schistidium: Phosphorus,MS_P,%,336,15,22,1995-07-07T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_S'>view</button>,Moss: Schistidium: Sulfur,MS_S,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Zn'>view</button>,Moss: Schistidium: Zinc,MS_Zn,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='Na'>view</button>,Sodium,Na,mg/L,1352175,144,9390,1963-06-02T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='NH3_N'>view</button>,Ammonia-N,NH3_N,mg/L,513518,13,39501,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='NH4'>view</button>,Ammonium,NH4,mg/L,20193,10,2019,1993-09-22T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='NH4_N'>view</button>,Ammonium-N,NH4_N,mg/L,909341,172,5287,1964-03-17T00:00:00Z,2020-02-28T00:00:00Z
<button type='button' id='Ni'>view</button>,Nickel,Ni,mg/L,1359,9,151,2009-06-18T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='NO2_N'>view</button>,Nitrite-N,NO2_N,mg/L,10913,39,280,1993-12-01T00:00:00Z,2014-01-30T00:00:00Z
<button type='button' id='NO3'>view</button>,Nitrate,NO3,mg/L,20161,10,2016,1993-09-22T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='NO3_N'>view</button>,Nitrate-N,NO3_N,mg/L,1644382,144,11419,1964-03-17T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='NO3_NO2_N'>view</button>,Nitrate-N and nitrite-N,NO3_NO2_N,mg/L,176996,100,1770,1978-05-24T00:00:00Z,2020-02-28T00:00:00Z
<button type='button' id='OMAl'>view</button>,Aluminum OM,OMAl,mg/L,79380,9,8820,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='Pb'>view</button>,Lead,Pb,mg/L,718,9,80,2009-06-25T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='pH'>view</button>,pH,pH,unitless,1210397,138,8771,1963-06-02T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='phaeopig'>view</button>,Phaeopigment,phaeopig,mg/L,497,6,83,2008-06-20T00:00:00Z,2012-07-31T00:00:00Z
<button type='button' id='pheophy'>view</button>,Sestonic Phaeophytin,pheophy,mg/l,9939,40,248,2004-06-22T00:00:00Z,2017-08-27T00:00:00Z
<button type='button' id='pHmetrohm'>view</button>,pH Metrohm,pHmetrohm,unitless,18521,9,2058,2017-06-12T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='PO4'>view</button>,Phosphate,PO4,mg/L,1563,7,223,2019-04-09T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='PO4_P'>view</button>,Phosphate-P,PO4_P,mg/L,1277387,104,12283,1968-10-09T00:00:00Z,2020-02-28T00:00:00Z
<button type='button' id='POC'>view</button>,Particulate Organic Carbon,POC,mg/L,25105,18,1395,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
<button type='button' id='PON'>view</button>,Particulate Organic Nitrogen,PON,mg/L,22610,8,2826,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
<button type='button' id='precipitation'>view</button>,Basin Precip,precipitation,mm,1403911,104,13499,1951-11-21T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='precipitation_ns'>view</button>,Basin Precip (nonstandard),precipitation_ns,mm,28683,9,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z
<button type='button' id='S'>view</button>,Sulfer,S,mg/l,1751,9,195,2009-06-18T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='Si'>view</button>,Silicon,Si,mg/L,641033,75,8547,1969-10-07T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='SiO2'>view</button>,Silica,SiO2,mg/L,23376,27,866,2012-02-01T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='SiO2_Si'>view</button>,NA,SiO2_Si,NA,593927,20,29696,1963-06-02T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='SO4'>view</button>,Sulfate,SO4,mg/L,43523,30,1451,1993-09-22T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='SO4_S'>view</button>,Sulfate-S,SO4_S,mg/L,1218631,138,8831,1964-03-17T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='spCond'>view</button>,Specific Conductivity,spCond,uS/cm,1117891,171,6537,1965-06-22T00:00:00Z,2020-12-31T00:00:00Z
