uniqueID,waterYr,date,timeEST,site,pH,pHmetrohm,DIC,spCond,temp,ANCMet,gageHt,hydroGraph,flowGageHt,precipCatch,fieldCode,notes,datetime,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,theoryCond,ionBalance,ionError,duplicate,sampleType
HBK_20140414_1140,2013,4/14/14,11:40,HBK,5.73,NA,41,10.2,3.5,NA,NA,NA,NA,NA,NA,NA,4/14/14 11:40,0.8578,0.2678,0.2069,0.7612,0.0574,0.0391,0.1263,0.0032,2.357,0.9893,0.3845,0.001,2.7969,0.3775,0.1532,4.2704,0.0153,0.0125,0.0674,111.6763,-102.4564,13.862,9.2199,0.0861,,Routine
HBK_20140421_1120,2013,4/21/14,11:20,HBK,5.89,NA,42,9.8,3.3,NA,NA,NA,NA,NA,NA,NA,4/21/14 11:20,0.7669,0.2349,0.2219,0.759,0.0417,0.0292,0.0785,0.0032,2.4645,0.7901,0.3851,0.001,2.6149,0.2611,0.0778,4.4821,0.0052,0.0125,0.0385,102.3962,-103.6882,13.2022,-1.292,-0.0125,,Routine
HBK_20140428_1035,2013,4/28/14,10:35,HBK,5.88,NA,39,9.8,4.4,NA,NA,NA,NA,NA,NA,NA,4/28/14 10:35,0.7846,0.2386,0.1874,0.6763,0.0568,0.0392,0.1025,0.0032,2.4798,0.6155,0.3738,0.001,3.0365,0.2148,0.0727,4.2521,0.0025,0.0125,0.0466,100.8167,-87.3809,12.3367,13.4358,0.1428,,Routine
HBK_20140505_1035,2013,5/5/14,10:35,HBK,5.66,NA,32,9.3,5.6,NA,NA,NA,NA,NA,NA,NA,5/5/14 10:35,0.3579,0.1305,0.1749,0.4761,0.0858,0.0599,0.463,0.0032,2.2586,0.5353,0.3283,0.003,3.818,0.2113,0.0876,2.3642,0.0164,0.2548,0.0356,65.6881,-98.4951,10.9092,-32.807,-0.3996,,Routine
HBK_20140512_1155,2013,5/12/14,11:55,HBK,6.04,NA,42,9.8,10.8,NA,NA,NA,NA,NA,NA,NA,5/12/14 11:55,0.7507,0.2455,0.2214,0.8022,0.0424,0.0311,0.1032,0.0074,2.5778,0.2775,0.3419,0.001,3.0641,0.1411,0.0726,4.6058,0.0025,0.0125,0.0228,104.2497,-106.5096,13.1095,-2.26,-0.0214,,Routine
HBK_20140519_1200,2013,5/19/14,12:00,HBK,5.97,NA,38,9.3,8.9,NA,NA,NA,NA,NA,NA,NA,5/19/14 12:00,0.8393,0.2734,0.2401,0.8538,0.0442,0.0318,0.1485,0.0119,2.4188,0.318,0.4347,0.001,3.0933,0.1685,0.0874,5.0878,0.0025,0.0125,0.0266,114.306,-98.0151,13.3126,16.291,0.1535,,Routine
HBK_20140526_1105,2013,5/26/14,11:05,HBK,6.19,NA,45,10.3,11.2,NA,NA,NA,NA,NA,NA,NA,5/26/14 11:05,0.9525,0.2795,0.2298,0.8807,0.0247,0.0203,0.1075,0.0032,2.5657,0.1378,0.3753,0.001,2.8459,0.1399,0.1045,5.5365,0.0025,0.0125,0.042,118.2901,-109.0571,13.8951,9.233,0.0812,,Routine
HBK_20140526_1105_Dup,2013,5/26/14,11:05,HBK,6.19,NA,45,10.3,11.2,NA,NA,NA,NA,NA,NA,NA,5/26/14 11:05,0.9366,0.2792,0.2281,0.8656,0.0252,0.0226,0.0842,0.0078,2.54,0.132,0.3975,0.001,2.605,0.1385,0.1026,5.5549,0.0025,0.0125,0.0417,117.0818,-107.8479,13.7641,9.2339,0.0821,Dup,Routine
ML70_20130603_0835,2013,6/3/13,8:35,ML70,6.63,NA,127,25.4,21.4,NA,0.19,F,NA,NA,NA,NA,6/3/13 8:35,1.7867,0.3926,0.509,2.461,NA,NA,0.0094,0.0032,3.2217,0.015,3.3265,0.001,1.916,0.0976,0.0976,2.5285,0.0025,0.0125,0.0816,241.9472,-245.4271,NA,-3.4799,-0.0143,,0
ML70_20130610_0830,2013,6/10/13,8:30,ML70,6.6,NA,123,25.8,20,NA,0.1,L,NA,NA,NA,NA,6/10/13 8:30,1.6952,0.3896,0.4651,2.4053,NA,NA,0.003,0.0032,3.2424,0.015,3.0714,0.0032,1.8295,0.0908,0.0851,2.4877,0.0054,0.0125,0.0722,233.6002,-234.7369,NA,-1.1366,-0.0049,,0
