uniqueID,site,date,timeEST,flowSensor,precipETI
STA/22_20150603_1045,STA/22,6/3/15,10:45,,68.8
STA/22_20150608_0800,STA/22,6/8/15,8:00,,1.8
STA/22_20150616_0915,STA/22,6/16/15,9:15,,59.9
STA/22_20150622_0800,STA/22,6/22/15,8:00,,47.8
STA/22_20150629_0825,STA/22,6/29/15,8:25,,72.6
STA/22_20150706_0905,STA/22,7/6/15,9:05,,36.1
STA/22_20150713_0845,STA/22,7/13/15,8:45,,2.8
STA/22_20150720_0840,STA/22,7/20/15,8:40,,56.9
STA/22_20150727_0940,STA/22,7/27/15,9:40,,14.4
STA/22_20150803_0815,STA/22,8/3/15,8:15,,16.2
STA/22_20150810_1400,STA/22,8/10/15,14:00,,11.4
STA/22_20150817_1530,STA/22,8/17/15,15:30,,45.7
STA/22_20150824_0845,STA/22,8/24/15,8:45,,8.1
STA/22_20150831_0730,STA/22,8/31/15,7:30,,14
STA/22_20150907_1330,STA/22,9/7/15,13:30,,0
STA/22_20150914_0810,STA/22,9/14/15,8:10,,47.3
STA/22_20150921_0750,STA/22,9/21/15,7:50,,7.4
STA/22_20150928_0845,STA/22,9/28/15,8:45,,0
STA/22_20151005_0830,STA/22,10/5/15,8:30,,56.4
STA/22_20151012_0910,STA/22,10/12/15,9:10,,32.8
STA/22_20151019_0800,STA/22,10/19/15,8:00,,1.6
STA/22_20151026_1300,STA/22,10/26/15,13:00,,14.2
STA/22_20151102_0845,STA/22,11/2/15,8:45,,38.2
STA/22_20151109_0845,STA/22,11/9/15,8:45,,1.8
STA/22_20151115_0835,STA/22,11/15/15,8:35,,23.1
STA/22_20151123_0910,STA/22,11/23/15,9:10,,46.5
STA/22_20151130_0730,STA/22,11/30/15,7:30,,0
STA/22_20151207_0740,STA/22,12/7/15,7:40,,35.9
STA/22_20151216_0950,STA/22,12/16/15,9:50,,17.5
STA/22_20151221_0830,STA/22,12/21/15,8:30,,19.4
STA/22_20151228_0800,STA/22,12/28/15,8:00,,46.7
STA/22_20160104_0830,STA/22,1/4/16,8:30,,-3
STA/22_20160111_0845,STA/22,1/11/16,8:45,,27.9
STA/22_20160119_0900,STA/22,1/19/16,9:00,,12.2
STA/22_20160125_0900,STA/22,1/25/16,9:00,,0
STA/22_20160201_0930,STA/22,2/1/16,9:30,,0.5
STA/22_20160208_0900,STA/22,2/8/16,9:00,,29.2
STA/22_20160215_0915,STA/22,2/15/16,9:15,,5.8
STA/22_20160222_0750,STA/22,2/22/16,7:50,,56.9
STA/22_20160229_0835,STA/22,2/29/16,8:35,,60.5
STA/22_20160307_0840,STA/22,3/7/16,8:40,,22.9
STA/22_20160314_0740,STA/22,3/14/16,7:40,,26.2
STA/22_20160322_0800,STA/22,3/22/16,8:00,,16.8
STA/22_20160330_0730,STA/22,3/30/16,7:30,,29.5
STA/22_20160405_1040,STA/22,4/5/16,10:40,,9.1
STA/22_20160413_1000,STA/22,4/13/16,10:00,,41.9
STA/22_20160418_1100,STA/22,4/18/16,11:00,,0
STA/22_20160425_0820,STA/22,4/25/16,8:20,,4.3
STA/22_20160503_0730,STA/22,5/3/16,7:30,,46
STA/22_20160509_0800,STA/22,5/9/16,8:00,,12.4
STA/22_20160516_0745,STA/22,5/16/16,7:45,,26.7
STA/22_20160523_0810,STA/22,5/23/16,8:10,,5.3
STA/22_20160531_0805,STA/22,5/31/16,8:05,,6.6
STA/22_20160606_0745,STA/22,6/6/16,7:45,,63.8
STA/22_20160613_0830,STA/22,6/13/16,8:30,,4.8
STA/22_20160620_0805,STA/22,6/20/16,8:05,,5.6
STA/22_20160627_0830,STA/22,6/27/16,8:30,,8.4
STA/22_20160705_0745,STA/22,7/5/16,7:45,,57.9
STA/22_20160711_0815,STA/22,7/11/16,8:15,,21.1
STA/22_20160717_1145,STA/22,7/17/16,11:45,,21.6
STA/22_20160725_0810,STA/22,7/25/16,8:10,,22.1
STA/22_20160801_0820,STA/22,8/1/16,8:20,,0
STA/22_20160808_0730,STA/22,8/8/16,7:30,,4.8
